service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20150515,20151205
2,0,0,0,0,0,1,0,20150515,20151205
3,0,0,0,0,0,0,1,20150515,20151205
4,0,0,0,0,1,1,0,20150515,20151205
6,0,0,0,0,0,0,0,20150515,20151205
7,1,1,1,1,0,0,1,20150515,20151205
8,0,0,0,0,0,0,0,20150515,20151205
9,1,1,1,1,0,0,1,20150515,20151205
12,0,0,0,0,1,1,0,20150515,20151205
13,0,0,0,0,0,0,0,20150515,20151205
14,0,0,0,0,1,0,0,20150515,20151205
15,0,0,0,0,0,1,0,20150515,20151205
16,0,0,0,0,0,0,1,20150515,20151205
17,0,0,0,0,0,0,0,20150515,20151205
21,0,0,0,0,0,0,0,20150515,20151205
22,0,0,0,0,0,0,0,20150515,20151205
