stop_id,stop_code,stop_name,stop_lat,stop_lon
1,ON05,ORANGE ST @ 5TH ST,39.742018,-75.551716
2,ON08,ORANGE ST & 8TH ST,39.743706,-75.550554
3,ON10,ORANGE ST & 10TH ST,39.745723,-75.549155
4,1100,11TH ST & KING ST,39.746129,-75.546627
5,FN14,FRENCH ST & 14TH ST,39.748296,-75.543573
6,MN20,MARKET ST & OP 20TH ST,39.751766,-75.541835
7,MNVA,MARKET ST & VANDEVER AVE,39.752304,-75.540672
8,MN23,MARKET ST & 23RD ST,39.753147,-75.538711
9,MN26,MARKET ST & 26TH ST,39.754344,-75.535881
10,MN27,MARKET ST & 27TH ST,39.754979,-75.53463
11,MN29,MARKET ST & 29TH ST,39.755626,-75.533163
13,MN31,MARKET ST & 31ST ST,39.756582,-75.531056
14,MNTO,MARKET ST & TODDS LN,39.757592,-75.528873
16,MN35,MARKET ST & 35TH ST,39.758473,-75.526994
17,MN38,MARKET ST & 38TH ST,39.759485,-75.524689
18,MN40,MARKET ST & 40TH ST,39.760236,-75.523078
20,MNLE,MARKET ST & LEA BLVD,39.761296,-75.520751
22,PNFM,PHILADELPHIA PK & OP FORMAN MILLS,39.762631,-75.517826
23,PNED,PHILADELPHIA PK & EDGEMOOR RD,39.763837,-75.515131
24,PNHI,PHILADELPHIA PK & HILLCREST AVE,39.764497,-75.513701
25,PNBE,PHILADELPHIA PK & BEESON AVE,39.765498,-75.51146
27,PNMA,PHILADELPHIA PK & MARSH RD,39.766581,-75.509097
28,PNRO,PHILADELPHIA PK & RODMAN RD,39.767649,-75.506753
29,PNWA,PHILADELPHIA PK & OP WASH ST EXT,39.769457,-75.502798
30,PNBS,PHILADELPHIA PK & BEESON RD,39.770439,-75.500647
31,PNDU,PHILADELPHIA PK & DUNCAN RD,39.771944,-75.497474
32,H0PH,HILLCREST AVE & PHILADELPHIA PK,39.764212,-75.513759
33,HEWE,HILLCREST AVE & WEIR AVE,39.763924,-75.511872
34,HEMA,HILLCREST AVE & MARSH RD,39.763616,-75.5103
35,HEWO,HILLCREST AVE & OP WOODSIDE AVE,39.763162,-75.507647
36,HEBL,HAINES AVE & BLUEROCK AVE,39.762459,-75.505718
